Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Octubre 2017,"19,1 €/m2","- 0,3 %","- 0,9 %","+ 6,8 %"
Septiembre 2017,"19,1 €/m2","+ 0,5 %","- 1,1 %","+ 10,7 %"
Agosto 2017,"19,0 €/m2","- 1,1 %","- 1,6 %","+ 12,7 %"
Julio 2017,"19,2 €/m2","- 0,5 %",n.d.,"+ 13,2 %"
Junio 2017,"19,3 €/m2",n.d.,"+ 3,1 %","+ 12,9 %"
Mayo 2017,"19,3 €/m2","+ 0,5 %","+ 3,1 %","+ 13,7 %"
Abril 2017,"19,2 €/m2","+ 2,6 %","+ 3,4 %","+ 13,6 %"
Marzo 2017,"18,7 €/m2","0,0 %","0,0 %","+ 12,5 %"
Febrero 2017,"18,7 €/m2","+ 0,8 %","+ 2,4 %","+ 11,0 %"
Enero 2017,"18,6 €/m2","- 0,7 %","+ 4,2 %","+ 11,7 %"
Diciembre 2016,"18,7 €/m2","+ 2,4 %","+ 8,5 %","+ 14,2 %"
Noviembre 2016,"18,3 €/m2","+ 2,5 %","+ 8,5 %","+ 16,3 %"
Octubre 2016,"17,9 €/m2","+ 3,4 %","+ 5,1 %","+ 14,4 %"
Septiembre 2016,"17,3 €/m2","+ 2,4 %","+ 0,9 %","+ 13,4 %"
Agosto 2016,"16,9 €/m2","- 0,7 %","- 0,8 %","+ 12,5 %"
Julio 2016,"17,0 €/m2","- 0,8 %","+ 0,4 %","+ 13,2 %"
Junio 2016,"17,1 €/m2","+ 0,7 %","+ 2,7 %","+ 15,9 %"
Mayo 2016,"17,0 €/m2","+ 0,5 %","+ 0,7 %","+ 15,6 %"
Abril 2016,"16,9 €/m2","+ 1,5 %","+ 1,6 %","+ 17,7 %"
Marzo 2016,"16,7 €/m2","- 1,3 %","+ 1,5 %","+ 16,7 %"
Febrero 2016,"16,9 €/m2","+ 1,4 %","+ 7,4 %","+ 17,0 %"
Enero 2016,"16,7 €/m2","+ 1,5 %","+ 6,7 %","+ 15,9 %"
Diciembre 2015,"16,4 €/m2","+ 4,4 %","+ 7,8 %","+ 14,5 %"
Noviembre 2015,"15,7 €/m2","+ 0,7 %","+ 4,9 %","+ 10,1 %"
Octubre 2015,"15,6 €/m2","+ 2,5 %","+ 4,1 %","+ 10,1 %"
Septiembre 2015,"15,2 €/m2","+ 1,5 %","+ 3,1 %","+ 10,2 %"
Agosto 2015,"15,0 €/m2","0,0 %","+ 2,0 %","+ 11,5 %"
Julio 2015,"15,0 €/m2","+ 1,5 %","+ 4,3 %","+ 12,9 %"
Junio 2015,"14,8 €/m2","+ 0,5 %","+ 3,4 %","+ 10,8 %"
Mayo 2015,"14,7 €/m2","+ 2,3 %","+ 1,9 %","+ 11,3 %"
Abril 2015,"14,4 €/m2","+ 0,6 %","0,0 %","+ 9,1 %"
Marzo 2015,"14,3 €/m2","- 1,0 %","- 0,4 %","+ 7,2 %"
Febrero 2015,"14,4 €/m2","+ 0,4 %","+ 1,1 %","+ 8,3 %"
Enero 2015,"14,4 €/m2","+ 0,3 %","+ 1,4 %","+ 7,8 %"
