Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Noviembre 2014,"11,0 €/m2","+ 0,5 %","+ 3,5 %","+ 3,7 %"
Octubre 2014,"11,0 €/m2","+ 3,0 %","+ 1,0 %","+ 3,1 %"
Septiembre 2014,"10,6 €/m2","- 0,1 %","- 1,9 %","+ 2,1 %"
Agosto 2014,"10,6 €/m2","- 1,8 %","- 1,2 %","+ 4,4 %"
Julio 2014,"10,8 €/m2","0,0 %","+ 1,1 %","+ 4,0 %"
Junio 2014,"10,8 €/m2","+ 0,6 %","+ 1,5 %","+ 2,9 %"
Mayo 2014,"10,8 €/m2","+ 0,4 %","+ 0,3 %","+ 2,3 %"
Abril 2014,"10,7 €/m2","+ 0,4 %","- 0,1 %","+ 1,5 %"
Marzo 2014,"10,7 €/m2","- 0,5 %","- 0,2 %","+ 0,7 %"
Febrero 2014,"10,7 €/m2","0,0 %","+ 1,1 %","+ 0,4 %"
Enero 2014,"10,7 €/m2","+ 0,3 %","+ 1,0 %","+ 0,5 %"
Diciembre 2013,"10,7 €/m2","+ 0,8 %","+ 2,7 %","- 0,4 %"
Noviembre 2013,"10,6 €/m2","0,0 %","+ 4,2 %","- 2,3 %"
Octubre 2013,"10,6 €/m2","+ 2,0 %","+ 2,0 %","- 5,8 %"
Septiembre 2013,"10,4 €/m2","+ 2,2 %","- 1,1 %","- 9,6 %"
Agosto 2013,"10,2 €/m2","- 2,2 %","- 3,2 %","- 11,2 %"
Julio 2013,"10,4 €/m2","- 1,0 %","- 1,3 %","- 9,0 %"
Junio 2013,"10,5 €/m2",n.d.,"- 0,7 %","- 6,8 %"
Mayo 2013,"10,5 €/m2","- 0,3 %","- 1,5 %","- 6,5 %"
Abril 2013,"10,6 €/m2","- 0,4 %","- 1,1 %","- 7,6 %"
Marzo 2013,"10,6 €/m2","- 0,9 %","- 1,3 %","- 8,4 %"
Febrero 2013,"10,7 €/m2","+ 0,1 %","- 1,6 %","- 8,4 %"
Enero 2013,"10,7 €/m2","- 0,6 %","- 5,3 %","- 8,1 %"
Diciembre 2012,"10,7 €/m2","- 1,1 %","- 6,8 %","- 6,8 %"
Noviembre 2012,"10,9 €/m2","- 3,7 %","- 5,3 %","- 6,9 %"
Octubre 2012,"11,3 €/m2","- 2,1 %","- 1,5 %","- 3,8 %"
Septiembre 2012,"11,5 €/m2","+ 0,4 %","+ 2,0 %","- 1,7 %"
Agosto 2012,"11,5 €/m2","+ 0,2 %","+ 1,8 %","- 1,1 %"
Julio 2012,"11,5 €/m2","+ 1,4 %","+ 0,2 %","- 2,1 %"
Junio 2012,"11,3 €/m2","+ 0,3 %","- 2,4 %","- 6,9 %"
Mayo 2012,"11,3 €/m2","- 1,4 %","- 3,5 %","- 8,6 %"
Abril 2012,"11,4 €/m2","- 1,3 %","- 1,6 %","- 9,4 %"
Marzo 2012,"11,6 €/m2","- 0,9 %","+ 0,4 %","- 9,2 %"
Febrero 2012,"11,7 €/m2","+ 0,5 %","+ 0,1 %","- 9,1 %"
Enero 2012,"11,6 €/m2","+ 0,8 %","- 0,9 %","- 9,3 %"
Diciembre 2011,"11,5 €/m2","- 1,3 %","- 1,7 %","- 8,6 %"
Noviembre 2011,"11,7 €/m2","- 0,4 %","+ 0,7 %","- 7,1 %"
Octubre 2011,"11,7 €/m2","0,0 %","+ 0,2 %","- 6,7 %"
Septiembre 2011,"11,7 €/m2","+ 1,1 %","- 3,4 %","- 12,2 %"
Agosto 2011,"11,6 €/m2","- 0,9 %","- 5,9 %","- 15,5 %"
Julio 2011,"11,7 €/m2","- 3,6 %","- 7,3 %","- 14,2 %"
Junio 2011,"12,1 €/m2","- 1,5 %","- 4,8 %",n.d.
Mayo 2011,"12,3 €/m2","- 2,3 %","- 4,1 %",n.d.
Abril 2011,"12,6 €/m2","- 1,0 %","- 1,5 %",n.d.
Marzo 2011,"12,7 €/m2","- 0,8 %","+ 1,1 %",n.d.
Febrero 2011,"12,8 €/m2","+ 0,3 %","+ 2,2 %",n.d.
Enero 2011,"12,8 €/m2","+ 1,6 %","+ 1,8 %",n.d.
Diciembre 2010,"12,6 €/m2","+ 0,3 %","- 5,5 %",n.d.
Noviembre 2010,"12,6 €/m2","- 0,1 %","- 8,5 %",n.d.
Octubre 2010,"12,6 €/m2","- 5,8 %","- 7,8 %",n.d.
Septiembre 2010,"13,3 €/m2","- 2,8 %",n.d.,n.d.
Agosto 2010,"13,7 €/m2","+ 0,7 %",n.d.,n.d.
Julio 2010,"13,6 €/m2",n.d.,n.d.,n.d.
Junio 2010,n.d.,n.d.,n.d.,n.d.
Mayo 2010,n.d.,n.d.,n.d.,n.d.
Abril 2010,n.d.,n.d.,n.d.,n.d.
Marzo 2010,n.d.,n.d.,n.d.,n.d.
Febrero 2010,n.d.,n.d.,n.d.,n.d.
Enero 2010,n.d.,n.d.,n.d.,n.d.
Diciembre 2009,n.d.,n.d.,n.d.,n.d.
Noviembre 2009,n.d.,n.d.,n.d.,n.d.
Octubre 2009,n.d.,n.d.,n.d.,n.d.
Septiembre 2009,n.d.,n.d.,n.d.,n.d.
Agosto 2009,n.d.,n.d.,n.d.,n.d.
Julio 2009,n.d.,n.d.,n.d.,n.d.
Junio 2009,n.d.,n.d.,n.d.,n.d.
Mayo 2009,n.d.,n.d.,n.d.,n.d.
Abril 2009,n.d.,n.d.,n.d.,n.d.
Marzo 2009,n.d.,n.d.,n.d.,n.d.
Febrero 2009,n.d.,n.d.,n.d.,n.d.
Enero 2009,n.d.,n.d.,n.d.,n.d.
Diciembre 2008,n.d.,n.d.,n.d.,n.d.
Noviembre 2008,n.d.,n.d.,n.d.,n.d.
Octubre 2008,n.d.,n.d.,n.d.,n.d.
Septiembre 2008,n.d.,n.d.,n.d.,n.d.
Agosto 2008,n.d.,n.d.,n.d.,n.d.
Julio 2008,n.d.,n.d.,n.d.,n.d.
Junio 2008,n.d.,n.d.,n.d.,n.d.
Mayo 2008,n.d.,n.d.,n.d.,n.d.
Abril 2008,n.d.,n.d.,n.d.,n.d.
Marzo 2008,n.d.,n.d.,n.d.,n.d.
Febrero 2008,n.d.,n.d.,n.d.,n.d.
Enero 2008,n.d.,n.d.,n.d.,n.d.
Diciembre 2007,n.d.,n.d.,n.d.,n.d.
Noviembre 2007,n.d.,n.d.,n.d.,n.d.
Octubre 2007,n.d.,n.d.,n.d.,n.d.
Septiembre 2007,n.d.,n.d.,n.d.,n.d.
Agosto 2007,n.d.,n.d.,n.d.,n.d.
Julio 2007,n.d.,n.d.,n.d.,n.d.
Junio 2007,n.d.,n.d.,n.d.,n.d.
Mayo 2007,n.d.,n.d.,n.d.,n.d.
Abril 2007,n.d.,n.d.,n.d.,n.d.
Marzo 2007,n.d.,n.d.,n.d.,n.d.
Febrero 2007,n.d.,n.d.,n.d.,n.d.
Enero 2007,n.d.,n.d.,n.d.,n.d.
Diciembre 2006,n.d.,n.d.,n.d.,n.d.
Noviembre 2006,n.d.,n.d.,n.d.,n.d.
Octubre 2006,n.d.,n.d.,n.d.,n.d.
Septiembre 2006,n.d.,n.d.,n.d.,n.d.
Agosto 2006,n.d.,n.d.,n.d.,n.d.
Julio 2006,n.d.,n.d.,n.d.,n.d.
Junio 2006,n.d.,n.d.,n.d.,n.d.
Mayo 2006,n.d.,n.d.,n.d.,n.d.
Abril 2006,n.d.,n.d.,n.d.,n.d.
Marzo 2006,n.d.,n.d.,n.d.,n.d.
Febrero 2006,n.d.,n.d.,n.d.,n.d.
Enero 2006,n.d.,n.d.,n.d.,n.d.
