Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Noviembre 2018,"16,5 €/m2","+ 0,1 %","+ 1,7 %","- 2,4 %"
Octubre 2018,"16,5 €/m2","+ 1,2 %","+ 0,4 %","- 1,1 %"
Septiembre 2018,"16,3 €/m2","+ 0,3 %","- 1,9 %","- 0,3 %"
Agosto 2018,"16,2 €/m2","- 1,2 %","- 2,6 %","+ 1,1 %"
Julio 2018,"16,4 €/m2","- 1,1 %","- 1,4 %","+ 0,1 %"
Junio 2018,"16,6 €/m2","- 0,4 %","- 0,3 %","+ 0,8 %"
Mayo 2018,"16,7 €/m2","+ 0,1 %","+ 0,1 %","+ 1,5 %"
Abril 2018,"16,7 €/m2",n.d.,"+ 1,1 %","+ 1,9 %"
Marzo 2018,"16,7 €/m2","0,0 %","- 0,2 %","+ 2,6 %"
Febrero 2018,"16,7 €/m2","+ 1,1 %","- 1,6 %","+ 2,1 %"
Enero 2018,"16,5 €/m2","- 1,3 %","- 1,2 %","+ 0,3 %"
Diciembre 2017,"16,7 €/m2","- 1,4 %","+ 2,1 %","+ 2,8 %"
Noviembre 2017,"16,9 €/m2","+ 1,5 %","+ 5,3 %","+ 5,8 %"
Octubre 2017,"16,7 €/m2","+ 2,0 %","+ 1,5 %","+ 8,4 %"
Septiembre 2017,"16,3 €/m2","+ 1,7 %","- 0,9 %","+ 12,1 %"
Agosto 2017,"16,1 €/m2","- 2,2 %","- 2,2 %","+ 12,5 %"
Julio 2017,"16,4 €/m2","- 0,4 %","+ 0,4 %","+ 15,6 %"
Junio 2017,"16,5 €/m2","+ 0,4 %","+ 1,6 %","+ 17,7 %"
Mayo 2017,"16,4 €/m2","+ 0,5 %","+ 0,7 %","+ 18,8 %"
Abril 2017,"16,4 €/m2","+ 0,7 %","- 0,4 %","+ 19,0 %"
Marzo 2017,"16,2 €/m2","- 0,5 %","0,0 %","+ 18,1 %"
Febrero 2017,"16,3 €/m2","- 0,7 %","+ 2,0 %","+ 19,2 %"
Enero 2017,"16,4 €/m2","+ 1,2 %","+ 6,8 %","+ 23,2 %"
Diciembre 2016,"16,2 €/m2","+ 1,5 %","+ 11,4 %","+ 23,2 %"
Noviembre 2016,"16,0 €/m2","+ 4,0 %","+ 12,0 %","+ 24,2 %"
Octubre 2016,"15,4 €/m2","+ 5,5 %","+ 8,3 %","+ 21,6 %"
Septiembre 2016,"14,6 €/m2","+ 2,1 %","+ 4,1 %","+ 17,4 %"
Agosto 2016,"14,3 €/m2","+ 0,6 %","+ 3,3 %","+ 16,1 %"
Julio 2016,"14,2 €/m2","+ 1,4 %","+ 3,3 %","+ 14,7 %"
Junio 2016,"14,0 €/m2","+ 1,3 %","+ 1,9 %","+ 13,9 %"
Mayo 2016,"13,8 €/m2","+ 0,6 %","+ 1,0 %","+ 12,8 %"
Abril 2016,"13,8 €/m2","0,0 %","+ 3,1 %","+ 12,2 %"
Marzo 2016,"13,8 €/m2","+ 0,4 %","+ 4,3 %","+ 12,2 %"
Febrero 2016,"13,7 €/m2","+ 2,7 %","+ 6,4 %","+ 11,9 %"
Enero 2016,"13,3 €/m2","+ 1,2 %","+ 5,4 %","+ 10,5 %"
Diciembre 2015,"13,2 €/m2","+ 2,3 %","+ 6,1 %","+ 11,3 %"
Noviembre 2015,"12,9 €/m2","+ 1,8 %","+ 4,6 %","+ 10,4 %"
Octubre 2015,"12,7 €/m2","+ 1,8 %","+ 2,2 %","+ 8,4 %"
Septiembre 2015,"12,4 €/m2","+ 1,0 %","+ 1,0 %","+ 8,4 %"
Agosto 2015,"12,3 €/m2","- 0,6 %","+ 0,4 %","+ 9,2 %"
Julio 2015,"12,4 €/m2","+ 0,6 %","+ 1,0 %","+ 10,0 %"
Junio 2015,"12,3 €/m2","+ 0,4 %","+ 0,5 %","+ 10,5 %"
Mayo 2015,"12,3 €/m2","0,0 %","+ 0,2 %","+ 9,9 %"
Abril 2015,"12,3 €/m2","+ 0,1 %","+ 1,6 %","+ 11,4 %"
Marzo 2015,"12,2 €/m2","+ 0,1 %","+ 3,4 %","+ 10,2 %"
Febrero 2015,"12,2 €/m2","+ 1,5 %","+ 4,9 %","+ 11,3 %"
Enero 2015,"12,1 €/m2","+ 1,8 %","+ 3,4 %","+ 11,3 %"
Diciembre 2014,"11,8 €/m2","+ 1,5 %","+ 3,3 %","+ 8,6 %"
Noviembre 2014,"11,7 €/m2",n.d.,"+ 3,5 %","+ 6,0 %"
Octubre 2014,"11,7 €/m2","+ 1,8 %","+ 3,7 %","+ 5,9 %"
Septiembre 2014,"11,5 €/m2","+ 1,6 %","+ 2,9 %","+ 3,7 %"
Agosto 2014,"11,3 €/m2","+ 0,2 %","+ 1,1 %","+ 3,4 %"
Julio 2014,"11,3 €/m2","+ 1,0 %","+ 2,3 %","+ 3,4 %"
Junio 2014,"11,1 €/m2","- 0,1 %","+ 0,3 %","+ 2,1 %"
Mayo 2014,"11,2 €/m2","+ 1,4 %","+ 1,4 %","+ 1,4 %"
Abril 2014,"11,0 €/m2","- 1,0 %","+ 1,5 %","- 0,7 %"
Marzo 2014,"11,1 €/m2","+ 1,0 %","+ 1,9 %","+ 0,6 %"
Febrero 2014,"11,0 €/m2","+ 1,5 %","0,0 %","- 0,9 %"
Enero 2014,"10,8 €/m2","- 0,7 %","- 1,7 %","- 3,1 %"
Diciembre 2013,"10,9 €/m2","- 0,8 %","- 1,3 %","- 4,0 %"
Noviembre 2013,"11,0 €/m2","- 0,1 %","+ 0,9 %","- 4,6 %"
Octubre 2013,"11,0 €/m2","- 0,3 %","+ 1,2 %","- 4,9 %"
Septiembre 2013,"11,1 €/m2","+ 1,3 %","+ 1,3 %","- 5,2 %"
Agosto 2013,"10,9 €/m2","+ 0,2 %","- 0,8 %","- 6,5 %"
Julio 2013,"10,9 €/m2","- 0,2 %","- 1,7 %","- 6,4 %"
Junio 2013,"10,9 €/m2","- 0,8 %","- 1,2 %","- 6,5 %"
Mayo 2013,"11,0 €/m2","- 0,7 %","- 0,9 %","- 6,6 %"
Abril 2013,"11,1 €/m2","+ 0,3 %","- 0,9 %","- 6,1 %"
Marzo 2013,"11,0 €/m2","- 0,5 %","- 2,8 %","- 7,5 %"
Febrero 2013,"11,1 €/m2","- 0,7 %","- 3,8 %","- 7,9 %"
Enero 2013,"11,2 €/m2","- 1,6 %","- 3,5 %","- 6,9 %"
Diciembre 2012,"11,4 €/m2","- 1,5 %","- 2,6 %","- 4,8 %"
Noviembre 2012,"11,5 €/m2","- 0,4 %","- 1,1 %","- 3,9 %"
Octubre 2012,"11,6 €/m2","- 0,7 %","- 0,4 %","- 4,8 %"
Septiembre 2012,"11,7 €/m2","0,0 %","0,0 %","- 4,6 %"
Agosto 2012,"11,7 €/m2","+ 0,3 %","- 0,9 %","- 4,2 %"
Julio 2012,"11,6 €/m2","- 0,3 %","- 1,4 %","- 5,5 %"
Junio 2012,"11,7 €/m2","- 0,9 %","- 2,3 %","- 6,3 %"
Mayo 2012,"11,8 €/m2","- 0,2 %","- 2,2 %","- 5,8 %"
Abril 2012,"11,8 €/m2","- 1,2 %","- 1,7 %","- 5,6 %"
Marzo 2012,"11,9 €/m2","- 0,8 %","+ 0,1 %","- 5,9 %"
Febrero 2012,"12,0 €/m2","+ 0,4 %","+ 0,4 %","- 5,1 %"
Enero 2012,"12,0 €/m2","+ 0,6 %","- 1,4 %","- 7,0 %"
Diciembre 2011,"11,9 €/m2","- 0,6 %","- 2,4 %","- 7,2 %"
Noviembre 2011,"12,0 €/m2","- 1,4 %","- 1,5 %","- 10,0 %"
Octubre 2011,"12,2 €/m2","- 0,5 %","- 1,1 %","- 11,5 %"
Septiembre 2011,"12,2 €/m2","+ 0,4 %","- 1,9 %","- 13,8 %"
Agosto 2011,"12,2 €/m2","- 1,0 %","- 2,6 %","- 12,3 %"
Julio 2011,"12,3 €/m2","- 1,2 %","- 1,6 %","- 8,8 %"
Junio 2011,"12,5 €/m2","- 0,4 %","- 1,9 %","- 11,4 %"
Mayo 2011,"12,5 €/m2","0,0 %","- 1,5 %","- 13,6 %"
Abril 2011,"12,5 €/m2","- 1,5 %","- 3,1 %","- 13,4 %"
Marzo 2011,"12,7 €/m2",n.d.,"- 1,3 %","- 6,0 %"
Febrero 2011,"12,7 €/m2","- 1,6 %","- 4,8 %","- 10,1 %"
Enero 2011,"12,9 €/m2","+ 0,4 %","- 6,2 %","- 0,2 %"
Diciembre 2010,"12,9 €/m2","- 3,6 %","- 9,3 %","- 0,5 %"
